user_id,skill_name,correct
263,56,1
263,75,1
639,2,0
639,2,0
263,76,1
639,2,0
485,11,0
263,2,0
344,78,0
263,2,1
485,11,0
814,92,0
639,2,0
259,3,0
259,3,0
485,11,1
814,92,0
263,77,1
814,92,0
814,92,1
485,79,1
814,87,1
639,77,0
639,77,0
262,56,1
639,77,1
262,75,0
344,78,1
262,76,1
344,47,0
262,2,0
268,56,1
262,2,0
268,75,1
262,77,0
263,1,0
263,1,0
814,15,1
262,77,0
268,76,1
262,77,0
268,2,1
262,77,0
344,47,1
268,77,0
262,77,0
268,77,0
268,77,0
259,3,0
268,77,0
259,3,0
268,77,0
262,75,1
262,2,0
262,2,0
262,77,0
262,77,0
262,77,0
263,1,0
263,1,0
263,1,1
814,89,0
684,76,1
259,3,0
713,3,0
684,2,0
713,3,0
259,3,0
684,2,0
684,2,0
684,2,0
713,3,0
263,3,0
684,2,1
519,56,1
684,77,0
568,56,1
684,77,0
198,1,0
198,1,0
568,75,0
198,1,0
713,48,0
713,48,0
